Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Lates niloticus,3000,,,,,,,,16,3,,0.05,0.0422,,,
Laticauda colubrina,1200,,,,,,,,,1.5,,0.0333,,,,
Latimeria chalumnae,80000,,,,,,,,,,,,,,,
Latrodectus hesperus,25,,,,,,,,,0.1944,,0.0042,,,,
Latrodectus mactans,1,,,,,,,,3,0.2222,,0.0037,,,,
Lavia frons,32,,,,,,,,,,,,,,,
Legatus leucophaius,26,,,,,,,,,,,,,,,
Leiostomus xanthurus,227,,,,,,,,,,,,,,,
Leiurus quinquestriatus,1.75,,,,,,,,,,,,,,,
Lemmiscus curtatus,27.5,,,,,,,,,0.1875,,0.0031,,,,
Lemmus lemmus,75,,,,,,,,,0.0778,0.1222,0.001,,,,
Lemmus sibiricus,80,,,,,,,,,,,,,,,
Lemniscomys barbarus,31,,,,,,,,0.5,0.1944,,0.0026,,,,
Lemur catta,2900,,,,,,,,27.1,2.5,2.5333,0.05,0.0275,,,
Leontopithecus caissara,600,,,,,,,,,1.75,,0.0292,,,,
Leontopithecus chrysomelas,535,,,,,,,,,2,,0.025,,,,
Leontopithecus chrysopygus,572.5,,,,,,,,10,1.6667,,0.0278,,,,
Leontopithecus rosalia,654.5,,,,,,,,15,2,2.0278,0.025,0.0253,,,
Leopardus colocolo,5000,,,,,,,,,,,,,,,
Leopardus geoffroyi,4000,,,,,,,,14.5,1.75,,0.0292,,,,
Leopardus guigna,2200,,,,,,,,11,2,,0.0333,,,,
Leopardus jacobitus,4000,,,,,,,,,,,,,,,
Leopardus pardalis,12250,,,,,,,,8.5,2.5,,0.0278,,,,
Leopardus tigrinus,2000,,,,,,,,11,1.5,,0.0333,,,,
Leopardus wiedii,3250,,,,,,,,,,,0.0167,,,,
Lepidochelys kempii,40000,,,,,,,,40,23,,0.3833,,,,
Lepilemur edwardsi,850,,,,,,,,,2,,0.0333,,,,
Lepilemur leucopus,544,,,,,,,,,1.5,,0.025,,,,
Lepilemur mustelinus,700,,,,,,,,,1.5,1.5167,0.025,0.0274,,,
Lepilemur septentrionalis,700,,,,,,,,8,1.5,,0.025,,,,
Lepisosteus oculatus,2500,,,,,,,,,1,,0.0167,,,,
Lepisosteus osseus,9302.5,,,,,,,,22,4.5,,0.075,,,,
Lepisosteus platostomus,1430,,,,,,,,,,,,,,,
Lepisosteus platyrhincus,2490,,,,,,,,,2,,0.0583,,,,
Lepomis cyanellus,970,,,,,,,,5,3,,0.05,,,,
Lepomis gibbosus,228.5,,,,,,,,8,2,,0.0333,,,,
Lepomis macrochirus,2200,,,,,,,,5,1.5,,0.025,,,,
Lepomis megalotis,434.5,,,,,,,,3.5,,,,,,,
Lepomis microlophus,1300,,,,,,,,6,1.5,,0.025,,,,
Leporillus conditor,300,,,,,,,,5,0.6667,,0.0111,,,,
Leptailurus serval,14000,,,,,,,,23,,,,0.038,,,
Leptodeira septentrionalis,29.1,,,,,,,,,,,,,,,
Leptonychotes weddellii,500000,,,,,,,,,7,,0.0667,,,,
Leptonycteris nivalis,24,,,,,,,,10,,,,,,,
Leptonycteris yerbabuenae,23,,,,,,,,,,,,,,,
Leptoptilos crumeniferus,9000,,,,,,,,25,,4.0556,,0.0676,,,
Lepus alleni,3800,,,,,,,,,2,,0.0333,,,,
Lepus americanus,1490,,,,,,,,5,1,,0.0167,,,,
Lepus arcticus,4000,,,,,,,,4,0.875,,0.0146,,,,
Lepus californicus,2200,,,,,,,,,,,,0.0113,,,
Lepus callotis,2500,,,,,,,,,,,,,,,
Lepus capensis,4500,,,,,,,,,0.6667,,0.0111,,,,
Lepus castroviejoi,2905,,,,,,,,,,,,,,,
Lepus corsicanus,2220,,,,,,,,,,,,,,,
Lepus europaeus,4000,,,,,,,,12,0.6667,,0.0111,0.0109,,,
Lepus hainanus,1500,,,,,,,,,,,,,,,
Lepus nigricollis,4170,,,,,,,,,1,,0.0167,,,,
Lepus oiostolus,2283,,,,,,,,,,,,,,,
Lepus othus,4800,,,,,,,,,,,,,,,
Lepus saxatilis,3000,,,,,,,,5,1,,0.0167,,,,
Lepus tibetanus,2062.5,,,,,,,,0.51,1,,0.0167,,,,
Lepus timidus,3050,,,,,,,,9,,,,0.0123,,,
Lepus townsendii,3500,,,,,,,,8,0.6667,,0.0111,0.0154,,,
Lestoros inca,27.5,,,,,,,,,,,,,,,
Liberiictis kuhni,2300,,,,,,,,,,,,,,,
Limnogale mergulus,83.5,,,,,,,,,,,,,,,
Limosa fedoa,369.5,,,,,,,,25,,,,,,,
Linckia laevigata,13.5,,,,,,,,10,2,,0.0333,,,,
Liomys irroratus,55,,,,,,,,,,,,,,,
Liomys salvini,47.5,,,,,,,,,,,,,,,
Lipotes vexillifer,104500,,,,,,,,24,5.5,,0.0917,,,,
Lissodelphis borealis,115000,,,,,,,,,,,,,,,
Lissodelphis peronii,79500,,,,,,,,,,,,,,,
Lithobates capito,99,,,,,,,,3,1.5,,0.0333,,,,
Lithobates catesbeianus,500,,,,,,,,8,4,,0.0667,,,,
Lithobates pipiens,29.02,,,,,,,,9,2,,0.0333,,,,
Lithobates sylvaticus,7.88,,,,,,,,4,1.5,,0.0417,,,,
Litocranius walleri,43500,,,,,,,,11,1.5,,0.025,,,,
Lobodon carcinophaga,250000,,,,,,,,,3.5,,0.0583,,,,
Lonchophylla thomasi,10,,,,,,,,,,,,,,,
Lonchorhina aurita,13,,,,,,,,,,,,,,,
Lontra canadensis,9500,,,,,,,,8.5,2.5,,0.0417,,,,
Lontra felina,4500,,,,,,,,,,,,,,,
Lontra longicaudis,10000,,,,,,,,,,,,,,,
Lophiomys imhausi,755,,,,,,,,,,,,,,,
Lophocebus albigena,9317.5,,,,,,,,,,,,0.0676,,,
Lophodytes cucullatus,610,,,,,,,,11.5,,,,,,,
Loris lydekkerianus,235,,,,,,,,,0.8333,,0.0174,,,,
Loris tardigradus,177,,,,,,,,,,1.0139,,0.0176,,,
Lota lota,34000,,,,,,,,20,3,,0.1,,,,
Loxia curvirostra,34.55,,,,,,,,,0.2778,,0.0046,,,,
Loxodonta africana,4540000,,,,,,,,70,11,10.1389,0.1833,0.186,,,
Loxodonta cyclotis,4350000,,,,,,,,70,11.5,,0.2083,,,,
Loxops coccineus,11,,,,,,,,10,3.5,,0.0417,,,,
Luscinia megarhynchos,21,,,,,,,,5,1,,0.0167,,,,
Lutra lutra,6750,,,,,,,,,,1.5222,,0.0254,,,
Lutreolina crassicaudata,720.1,,,,,,,,,,,,,,,
Lutrogale perspicillata,9000,,,,,,,,7,2,,0.0333,,,,
Lycalopex culpaeus,8700,,,,,,,,11,1,,0.0167,,,,
Lycalopex fulvipes,2720,,,,,,,,7,,,,,,,
Lycalopex griseus,3000,,,,,,,,,1,,0.0167,,,,
Lycalopex gymnocercus,5350,,,,,,,,,,,,,,,
Lycalopex vetulus,3330,,,,,,,,,,,,,,,
Lycaon pictus,27000,,,,,,,,10,1.25,,0.0208,,,,
Lyncodon patagonicus,225,,,,,,,,,,,,,,,
Lynx canadensis,10900,,,,,,,,14.5,2.75,1.5917,0.0292,0.0231,,,
Lynx lynx,27000,,,,,,,,5,3,2.7889,0.0333,0.0296,,,
Lynx pardinus,12800,,,,,,,,13,1,,0.0167,,,,
Lynx rufus,9500,,,,,,,,15,,2.0278,,0.0169,,,
Macaca arctoides,8850,,,,,,,,,4.75,,0.0667,,,,
Macaca cyclopis,11500,,,,,,,,,,,,,,,
Macaca fascicularis,5000,,,,,,,,,6,4.2889,0.0667,0.0573,,,
Macaca fuscata,8882.5,,,,,,,,30,4.5,3.8028,0.0583,0.0687,,,
Macaca mulatta,8000,,,,,,,,30,5.75,,0.0542,,,,
Macaca nemestrina,9600,,,,,,,,26,4.25,,0.0542,,,,
Macaca nigra,,,,,,,,,18,5,,0.0833,,,,
Macaca silenus,6500,,,,,,,,20,8,6.975,0.0833,0.0662,,,
Macaca sinica,4200,,,,,,,,30,7,,0.0833,,,,
Macaca sylvanus,13500,,,,,,,,22,3.8333,5.575,0.0639,0.0648,,,
Macquaria australasica,1500,,,,,,,,20,2,,0.05,,,,
Macrocheira kaempferi,18000,,,,,,,,100,,,,,,,
Macrochelys temminckii,75000,,,,,,,,28,12,,0.2,,,,
Macroderma gigas,150,,,,,,,,,1,,0.0167,,,,
Macrogalidia musschenbroekii,,4000,,,,,,,,,,,,,,
Macroglossus minimus,18,,,,,,,,,,,,,,,
Macroglossus sobrinus,20.75,,,,,,,,5,,,,,,,
Macrophyllum macrophyllum,9,,,,,,,,1.39,,,,,,,
Macropus agilis,16000,,,,,,,,12.5,1.0833,,0.0181,,,,
Macropus antilopinus,42500,,,,,,,,16,2,,0.0222,,,,
Macropus bernardus,17500,,,,,,,,,,,,,,,
Macropus dorsalis,49500,,,,,,,,10,1.6667,1.6889,0.0194,0.0197,,,
Macropus eugenii,6550,,,,,,,,14,2,2.0278,0.0125,0.0127,,,
Macropus fuliginosus,28250,,,,,,,,20,1.6667,2.4444,0.0236,0.031,,,
Macropus giganteus,46750,,,,,,,,8,1.6667,3.5833,0.0243,,,,
Macropus irma,8000,,,,,,,,,,,,,,,
Macropus parma,4550,,,,,,,,7,1.8333,,0.0222,,,,
Macropus parryi,16500,,,,,,,,10,,2.4528,,0.0345,,,
Macropus robustus,30000,,,,,,,,24,1.5,,0.0306,,,,
Macropus rufogriseus,16200,,,,,,,,15,,1.6889,,0.0183,,,
Macropus rufus,90000,,,,,,,,30,1.8333,,0.0243,,,,
Macroscelides proboscideus,45,,,,,,,,1.5,0.1194,,0.002,0.002,,,
Macrotarsomys bastardi,29.5,,,,,,,,,,,,,,,
Macrotis lagotis,1550,,,,,,,,,0.6667,,0.0069,0.0069,,,
Macrotis leucura,354,,,,,,,,,,,,,,,
Macrotus californicus,12.5,,,,,,,,10.4,1,,0.0083,0.0056,,,
Madoqua guentheri,4000,,,,,,,,,,,,,,,
Madoqua kirkii,4500,,,,,,,,,,0.8444,,0.0099,,,
Madoqua saltiana,4250,,,,,,,,,,,,,,,
Makaira nigricans,153500,,,,,,,,25,3,,0.05,,,,
Malaclemys terrapin,720,,,,,,,,,,2.5278,,0.1014,,,
Malapterurus electricus,10000,,,,,,,,,,,,,,,
Mandrillus leucophaeus,18250,,,,,,,,,3.5,,0.0583,0.0591,,,
Mandrillus sphinx,18250,,,,,,,,,,,0.1,,,,
Manis crassicaudata,20000,,,,,,,,,,,,,,,
Manis culionensis,2100,,,,,,,,,,,,,,,
Manis pentadactyla,2350,,,,,,,,,,,,,,,
Manis temminckii,12500,,,,,,,,,,,,,,,
Manis tetradactyla,2250,,,,,,,,,2,,0.0333,,,,
Manis tricuspis,9250,,,,,,,,,,,,,,,
Manouria emys,28500,,,,,,,,150,,,,,,,
Manta birostris,1300000,,,,,,,,,,,,0.1014,,,
Marmosa isthmica,,,,,,,,,,,,,,,,
Marmosa mexicana,,,,,,,,,,,,,,,,
Marmosa zeledoni,,,,,,,,,,,,,,,,
Marmosops paulensis,,,,,,,35,45,,,,,,,,
Marmota bobak,7300,,,,,,,,15,3,,0.05,0.0507,,,
Marmota broweri,3410,,,,,,,,14,3,,0.05,,,,
Marmota caligata,9000,,,,,,,,,2,,0.0333,0.042,,,
Marmota camtschatica,4750,,,,,,,,,3,,0.05,,,,
Marmota caudata,8500,,,,,,,,,2,,0.0333,,,,
Marmota flaviventris,3350,,,,,,,,14,2,2.0278,0.0333,0.0338,,,
Marmota himalayana,6600,,,,,,,,15,2,,0.0333,,,,
Marmota marmota,3500,,,,,,,,15,,2.0278,,0.0338,,,
Marmota monax,4000,,,,,,,,4,1.5,,0.025,,,,
Marmota olympus,7050,,,,,,,,4,3,,0.05,,,,
Marmota sibirica,7000,,,,,,,,,2,,0.0333,,,,
Marmota vancouverensis,5000,,,,,,,,10,3,,0.05,0.0549,,,
Martes americana,790,,,,,,,,,1.625,,0.0271,,,,
Martes flavigula,,,,,,,,,,,,,,,,
Martes foina,1700,,,,,,,,10,1.75,,0.0292,,,,
Martes martes,1140,,,,,,,,10,,1.1833,,0.0211,,,
Martes melampus,250.5,,,,,,,,,1.5,,0.025,,,,
Martes pennanti,3500,,,,,,,,10,2,1.0139,0.0167,0.0169,,,
Martes zibellina,1250,,,,,,,,8,2.5,,0.0417,,,,
Massoutiera mzabi,182.5,,,,,,,,,,,,,,,
Mazama americana,37500,,,,,,,,12,1,1.0139,0.0167,,,,
Mazama gouazoubira,15600,,,,,,,,13,1,,0.0181,,,,
Megaceryle alcyon,150,,,,,,,,,1,,0.0167,,,,
Megachasma pelagios,750000,,,,,,,,,,,,,,,
Megaderma lyra,50,,,,,,,,,1.4167,,0.0236,,,,
Megadyptes antipodes,6500,,,,,,,,23,3.5,,0.0417,,,,
Megaloglossus woermanni,14.2,,,,,,,,,,,,,,,
Megalonaias nervosa,263.8,,,,,,,,54,8,,0.1333,,,,
Megalops atlanticus,161000,,,,,,,,55,9.5,,0.1583,,,,
Megaptera novaeangliae,30000000,,,,,,,,77,4.5,,0.075,,,,
Melanerpes carolinus,75.2,,,,,,,,12.1,1,,0.0167,,,,
Melanerpes erythrocephalus,70,,,,,,,,9.92,1,,0.0167,,,,
Melanerpes formicivorus,73,,,,,,,,9.5,,,,,,,
Melanerpes lewis,115,,,,,,,,,,,,,,,
Melanitta nigra,1066,,,,,,,,16.8,2,,0.0333,,,,
Meleagris gallopavo,7300,,,,,,,,13,0.8333,1.0139,0.0139,0.0169,,,
Meles anakuma,5100,,,,,,,,10,0.2722,,0.0333,,,,
Meles leucurus,6250,,,,,,,,,1.125,,0.0188,,,,
Meles meles,11700,,,,,,,,6,1,1.0139,0.0167,0.0169,,,
Melierax canorus,725,,,,,,,,7,,,,,,,
Mellisuga helenae,2.28,,,,,,,,7,,,0.0167,,,,
Mellivora capensis,10000,,,,,,,,7.5,2.5,,0.0192,,,,
Melogale everetti,2000,,,,,,,,,,,,,,,
Melogale moschata,2000,,,,,,,,,,,,,,,
Melogale personata,2000,,,,,,,,,,,,,,,
Melopsittacus undulatus,30,,,,,,,,,,0.5,,0.0083,,,
Melospiza georgiana,14.9,,,,,,,,5.92,,,,,,,
Melospiza melodia,19.1,,,,,,,,11.33,1,,0.0167,,,,
Melursus ursinus,97500,,,,,,,,,,3.0417,,0.0507,,,
Mephitis macroura,1200,,,,,,,,,,,,,,,
Mephitis mephitis,3500,,,,,,,,6,0.8333,0.9306,0.0139,0.0155,,,
Merganetta armata,398,,,,,,,,,1,,0.0167,,,,
Mergus merganser,1552,,,,,,,,13.42,2,,0.0333,,,,
Mergus serrator,1075,,,,,,,,9.33,2.5,,0.05,,,,
Meriones crassus,69.5,,,,,,,,,0.1472,,0.0025,,,,
Meriones libycus,85,,,,,,,,,,,,0.0042,,,
Meriones unguiculatus,96,,,,,,,,,,0.1,,0.002,,,
Merops apiaster,52,,,,,,,,5.9,1,,0.0167,,,,
Merops ornatus,26.5,,,,,,,,2,,,,,,,
Mesocricetus auratus,112.5,,,,,,,,1.75,0.1167,0.1333,0.0013,,,,
Mesoplodon bidens,1150000,,,,,,,,,,,,,,,
Mesoplodon bowdoini,2359000,,,,,,,,,,,,,,,
Mesoplodon carlhubbsi,1500000,,,,,,,,,,,,,,,
Mesoplodon densirostris,925000,,,,,,,,,9,,0.15,0.1522,,27,27
Mesoplodon europaeus,1200000,,,,,,,,27,,,,,,,
Mesoplodon grayi,5000000,,,,,,,,,,,,,,,
Mesoplodon hectori,800000,,,,,,,,,,,,,,,
Mesoplodon layardii,1814000,,,,,,,,,,,,,,,
Metachirus nudicaudatus,460,,,,,,,,3.5,,,,,,,
Micrathene whitneyi,45,,,,,,,,5,,,0.0167,,,,
Microcavia australis,280,,,,,,,,3.5,0.125,,0.0021,,,,
Microcebus murinus,60,,,,,,,,,,0.675,,0.0113,,,
Microcebus myoxinus,42.5,,,,,,,,0,,,,,,,
Microcebus rufus,50,,,,,,,,7,1,,0.0167,,,,
Microcerculus philomela,18,,,,,,,,,,,,,,,
Microdipodops megacephalus,13.4,,,,,,,,,,,,,,,
Microdipodops pallidus,13.5,,,,,,,,,,,,,,,
Microgale brevicaudata,9.5,,,,,,,,,,,,,,,
Microgale cowani,11.9,,,,,,,,,,,,,,,
Microgale dobsoni,37.8,,,,,,,,5.6,,1.8583,,0.031,,,
Microgale dryas,40,,,,,,,,,,,,,,,
Microgale gracilis,23.2,,,,,,,,,,,,,,,
Microgale longicaudata,7,,,,,,,,,,,,,,,
Microgale talazaci,39,,,,,,,,5.8,1.75,1.775,0.0292,0.0296,,,
Micromys minutus,6,,,,,,,,1.5,,0.1028,,0.0019,,,
Micropotamogale lamottei,64.2,,,,,,,,,,,,,,,
Micropotamogale ruwenzorii,105,,,,,,,,,,,,,,,
Micropteropus pusillus,29,,,,,,,,,0.6667,,0.0125,,,,
Micropterus dolomieu,2975.5,,,,,,,,26,3.5,,0.0583,,,,
Micropterus salmoides,900,,,,,,,,10,0.2917,,0.0063,,,,
Microtus californicus,73,,,,,,,,0.54,0.0931,,0.001,,,,
Microtus chrotorrhinus,39,,,,,,,,,,,,,,,
Microtus longicaudus,52.5,,,,,,,,1,,,0.001,,,,
Microtus ochrogaster,50,,,,,,,,1,0.1042,,0.0017,,,,
Microtus oeconomus,50,,,,,,,,2,0.1361,,0.001,0.0014,,,
Microtus pennsylvanicus,43.67,,,,,,,,,,0.1028,,0.0013,,,
Microtus pinetorum,25.5,,,,,,,,0.25,,,,0.0045,,,
Microtus richardsoni,51,,,,,,,,,,,,,,,
Microtus xanthognathus,150,,,,,,,,1.42,,,,,,,
Milvus migrans,540,,,,,,,,22,2.5,,0.0417,,,,
Milvus milvus,1050,,,,,,,,,3,,0.05,,,,
Mimus polyglottos,49,,,,,,,,14.83,1,,0.0167,,,,
Miniopterus australis,7.5,,,,,,,,5.5,1.75,,0.0292,,,,
Miniopterus schreibersii,9.5,,,,,,,,,,,,,,,
Mionectes oleagineus,13,,,,,,,,,,,,,,,
Miopithecus talapoin,1350,,,,,,,,28,5.5,,0.0917,,,,
Mirounga angustirostris,1450000,,,,,,,,9,9,,0.15,,,,
Mirounga leonina,1400000,,,,,,,,23,,5.0694,,0.049,,18,18
Misumenops celer,0.03,,,,,,,,0.69,,,,,,,
Mniotilta varia,12,,,,,,,,11.25,,,,,,,
Mola mola,2235000,,,,,,,,,,,,,,,
Moloch horridus,42.75,,,,,,,,6,,,,,,,
Molothrus ater,44,,,,,,,,16.83,1,1.0139,0.0167,0.0169,,,
Momotus momota,102,,,,,,,,,,,,,,,
Monachus monachus,307500,,,,,,,,30,5,,0.0833,,,,
Monachus schauinslandi,186000,,,,,,,,25,10,,0.125,,,,
Monachus tropicalis,135000,,,,,,,,20,,,,,,,
Monodelphis brevicaudata,81,,,,,,,,,0.375,,0.0063,,,,
Monodelphis domestica,122.5,,,,,,,,4,0.5,,0.0083,,,,
Monodelphis kunsi,18.75,,,,,,,,,,,,,,,
Monodon monoceros,1250000,,,,,,,,40,5.5,,0.0917,,,,
Mormoops megalophylla,16,,,,,,,,,,,,,,,
Morone americana,1210,,,,,,,,16,2.5,,0.0333,,,,
Morone chrysops,3200,,,,,,,,15,2,2.0278,0.0333,0.0507,,,
Morone mississippiensis,1160,,,,,,,,7,3,,0.05,,,,
Morone saxatilis,13500,,,,,,,,20,2.5,,0.0917,,,,
Morus bassanus,3040,,,,,,,,21,3,,0.05,,,,
Morus capensis,2600,,,,,,,,,3.5,,0.0583,,,,
Moschus chrysogaster,12500,,,,,,,,3.1,,,,0.0296,,,
Moschus fuscus,12500,,,,,,,,,,,,,,,
Moschus leucogaster,14500,,,,,,,,12,1.6667,,0.0278,,,,
Moschus moschiferus,16000,,,,,,,,,,,,0.0219,,,
Mugil cephalus,8000,,,,,,,,5,3,2.0278,0.05,0.0338,,,
Mungos mungo,1300,,,,,,,,,,,,0.0134,,,
Mungotictis decemlineata,650,,,,,,,,,2,,0.0333,0.0344,,,
Muntiacus atherodes,15500,,,,,,,,,0.75,,0.0125,,,,
Muntiacus crinifrons,28700,,,,,,,,11,,,0.0167,,,,
Muntiacus feae,22000,,,,,,,,,,,0.0167,,,,
Muntiacus gongshanensis,21000,,,,,,,,11,0.75,,0.0083,,,,
Muntiacus muntjak,24500,,,,,,,,,,0.9222,,0.0126,,,
Muntiacus putaoensis,12000,,,,,,,,,,,,,,,
Muntiacus reevesi,18000,,,,,,,,11,0.9236,,0.0078,,,,
Muntiacus vuquangensis,40000,,,,,,,,,,,,,,,
Murina cyclotis,10.5,,,,,,,,,,,,,,,
Murina suilla,4,,,,,,,,,1,,0.0167,,,,
Mus musculus,21,,,,,,,,1.25,0.1167,,0.0019,,,,
Musca domestica,0.01,,,,,,,,0.17,0.0019,,0,,,,
Muscardinus avellanarius,20,,,,,,,,3,0,0.9306,0.0167,0.0155,,,
Mustela altaica,236,,,,,,,,,,,,,,,
Mustela erminea,70.5,,,,,,,,1.5,2,1.0139,0.003,0.0044,,,
Mustela eversmanii,1700,,,,,,,,,0.75,,0.0125,,,,
Mustela frenata,150.6,,,,,,,,,0.625,,0.0104,,,,
Mustela itatsi,300,,,,,,,,2,1,,0.0167,,,,
Mustela kathiah,1560,,,,,,,,,0.625,,0.0104,,,,
Mustela lutreola,589.5,,,,,,,,10,,0.8972,,0.015,,,
Mustela lutreolina,,706.6,,,,,,,,,,,,,,
Mustela nigripes,885,,,,,,,,,,1.0139,,0.0169,,,
Mustela nivalis,55,,,,,,,,2,0.5833,,0.0069,,,,
Mustela putorius,957.5,,,,,,,,10,0.5,0.8944,0.0083,0.0144,,,
Mustela putorius furo,1500,,,,,,,,,0.5,,0.0083,,,,
Mustela sibirica,590,,,,,,,,2.1,2,,0.0333,,,,
Mustela subpalmata,307.5,,,,,,,,1,0.5,,0.0083,,,,
Mycteria americana,2500,,,,,,,,18.75,4,,0.0667,,,,
Mycteria leucocephala,3500,,,,,,,,,,,,,,,
Mycteroperca venenosa,18500,,,,,,,,15,8.5,,0.0667,,,,
Mydaus javanensis,2500,,,,,,,,,,,,,,,
Mydaus marchei,2500,,,,,,,,,,,,,,,
Myiarchus cinerascens,29.5,,,,,,,,9,,,,,,,
Myiarchus crinitus,34,,,,,,,,14,1,,0.0167,,,,
Myiopsitta monachus,81.7,,,,,,,,,,,,,,,
Myliobatis californica,,,,,,,,,23,,,,,,,
Myocastor coypus,7500,,,,,,,,6,0.5,0.4222,0.0083,0.007,,,
Myodes californicus,27.5,,,,,,,,,,,,,,,
Myodes gapperi,20.57,,,,,,,,1.67,0.25,,0.0042,,,,
Myodes glareolus,18.5,,,,,,,,1.25,0.0875,,0.0015,,,,
Myodes rutilus,30,,,,,,,,0.5,0.1667,,0.0028,,,,
Myoprocta acouchy,2500,,,,,,,,,0.8444,0.8444,0.0141,0.0141,,,
Myoprocta pratti,1000,,,,,,,,,,,0.0139,,,,
Myopus schisticolor,32.5,,,,,,,,1,0.25,,0.0017,,,,
Myosciurus pumilio,16.5,,,,,,,,,,,,,,,
Myosorex varius,12,,,,,,,,0,,,,,,,
Myotis auriculus,6.5,,,,,,,,3,,,,,,,
Myotis austroriparius,6.6,,,,,,,,21,1,,0.0167,,,,
Myotis californicus,4.35,,,,,,,,,,,,,,,
Myotis daubentonii,10,,,,,,,,4.5,1.5,,0.0167,,,,
Myotis evotis,6.5,,,,,,,,22,,,,,,,
Myotis grisescens,11.5,,,,,,,,14.5,2,1.2667,0.0333,0.0211,,,
Myotis keenii,6,,,,,,,,13,1,,0.0167,,,,
Myotis leibii,4.75,,,,,,,,9,,,,,,,
Myotis lucifugus,9.5,,,,,,,,6.5,0.5833,0.5833,0.0097,0.0097,,,
Myotis myotis,32.5,,,,,,,,13,,1.3944,,0.0232,,,
Myotis mystacinus,6,,,,,,,,3.5,,1.2667,,0.0169,,,
Myotis septentrionalis,7.5,,,,,,,,18.5,,,,,,,
Myotis sodalis,8,,,,,,,,20,,,,,,,
Myotis thysanodes,6,,,,,,,,,,,,,,,
Myotis velifer,8,,,,,,,,,,1.0139,,0.0169,,,
Myotis vivesi,25,,,,,,,,10,,,,,,,
Myotis volans,7.5,,,,,,,,,,,,0.007,,,
Myotis yumanensis,6,,,,,,,,,1,,0.0167,,,,
Myrmecobius fasciatus,526,,,,,,,,5,2,,0.0167,,,,
Myrmecophaga tridactyla,28500,,,,,,,,,3.25,,0.0542,,,,
Mysateles prehensilis,1650,,,,,,,,,,,,,,,
Mystacina robusta,30,,,,,,,,,,,,,,,
Mystacina tuberculata,23.5,,,,,,,,,,,,,,,
Mystromys albicaudatus,87,,,,,,,,,,,0.0068,,,,
Mytilus edulis,3.95,,,,,,,,21,1.5,,0.025,,,,
Myzopoda aurita,9,,,,,,,,,,,,,,,
Naemorhedus caudatus,27000,,,,,,,,15,2.5,,0.0417,,,,
Naemorhedus goral,27500,,,,,,,,15,2.5,,0.0417,,,,
Nandinia binotata,3250,,,,,,,,,3,3.0417,0.05,0.0507,,,
Nanger dama,55000,,,,,,,,12,1,,0.0292,,,,
Nanger granti,55000,,,,,,,,12,3,,0.025,,,,
Nanonycteris veldkmapii,26,,,,,,,,,,,,,,,
Napaeozapus insignis,26,,,,,,,,3,0.7917,,0.0153,,,,
Narceus americanus,2.5,,,,,,,,6,2.5,,0.0417,,,,
Nasalis larvatus,14500,,,,,,,,,7,,,0.0676,,,
Nasua narica,4000,,,,,,,,14,,1.9778,,0.033,,,
Nasua nasua,4500,,,,,,,,14,2,2.0278,0.0333,0.0338,,,
Natalus stramineus,4,,,,,,,,,,,,,,,
Natator depressus,70000,,,,,,,,100,,,,,,,
Neamblysomus julianae,,22,,,,,,,,,,,,,,
Necromys lasiurus,35,,,,,,,,,,,,,,,
Nectogale elegans,35,,,,,,,,,,,,,,,
Nectomys squamipes,216,,,,,,,,1,0.105,,0.0021,,,,
Negaprion brevirostris,183700,,,,,,,,30,6.5,,0.1083,,,,
Nematostella vectensis,17.5,,,,,,,,,,,,,,,
Neoceratodus forsteri,48000,,,,,,,,75,15,,0.3333,,,,
Neofelis diardi,22500,,,,,,,,,2,,0.0333,,,,
Neofelis nebulosa,20000,,,,,,,,11,1.9583,,0.0326,,,,
Neomys fodiens,15,,,,,,,,3,,0.2944,,0.0049,,,
Neophoca cinerea,202500,,,,,,,,,4.5,,0.075,,,,
Neophocaena phocaenoides,37500,,,,,,,,23,2,,0.0333,,,,
Neophron percnopterus,1889,,,,,,,,,6,,0.1,,,,
Neopsephotus bourkii,45.5,,,,,,,,,,,,,,,
Neotoma albigula,197,,,,,,,,6,0.5,,0.0083,,,,
Neotoma cinerea,335.5,,,,,,,,,,,,0.0163,,,
Neotoma floridana,275,,,,,,,,3,1,,0.0076,,,,
Neotoma fuscipes,275.5,,,,,,,,,,,,,,,
Neotoma lepida,236,,,,,,,,3,0.2083,,0.0035,,,,
Neotoma macrotis,204,,,,,,,,,,,,,,,
Neotoma magister,323.5,,,,,,,,4.46,,,0.0049,,,,
Neotoma mexicana,162.5,,,,,,,,,0.75,,0.0028,,,,
Neotomodon alstoni,50,,,,,,,,,0.4833,,0.0081,,,,
Neotragus batesi,2500,,,,,,,,,,,,,,,
Neotragus moschatus,5000,,,,,,,,,1,,0.0167,,,,
Neotrypaea californiensis,3,,,,,,,,5,,,,,,,
Neovison vison,1150,,,,,,,,10,0.8333,,0.0139,,,,
